query,shows,note
ветеринар для хорька москва,,"частотность не найдена; ключи ответа: ['associations', 'popular']"
ветеринар рядом со мной москва,,"частотность не найдена; ключи ответа: ['associations', 'popular']"
ветклиника с современным оборудованием москва,,"частотность не найдена; ключи ответа: ['associations', 'popular']"
ветклиника центр москвы,,"частотность не найдена; ключи ответа: ['associations', 'popular']"
консультация ветеринарного хирурга москва,,"частотность не найдена; ключи ответа: ['associations', 'popular']"
кот не встаёт на задние лапы,,"частотность не найдена; ключи ответа: ['associations', 'popular']"
лучший ветеринарный хирург москвы,,"частотность не найдена; ключи ответа: ['associations', 'popular']"
малоинвазивная операция животным москва,,"частотность не найдена; ключи ответа: ['associations', 'popular']"
мрт животным москва,,"частотность не найдена; ключи ответа: ['associations', 'popular']"
операция коту москва,,"частотность не найдена; ключи ответа: ['associations', 'popular']"
операция кролику москва,,"частотность не найдена; ключи ответа: ['associations', 'popular']"
стоматология для животных москва,,"частотность не найдена; ключи ответа: ['associations', 'popular']"
у кошки кровь в моче,,"частотность не найдена; ключи ответа: ['associations', 'popular']"
удаление опухоли у собаки москва,,"частотность не найдена; ключи ответа: ['associations', 'popular']"
хирургическая операция для животных в москве цена,,"частотность не найдена; ключи ответа: ['associations', 'popular']"
