query,shows,note
ветеринарный хирург в москве,,точного совпадения фразы в ответе нет
операция для собаки москва,,точного совпадения фразы в ответе нет
операция для кошки москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
операция коту москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
хирургия для животных в москве,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
хирургическая операция для животных в москве цена,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветеринарная клиника хирургия москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветеринар хирург москва цена,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
хирург для животных москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
операция животному москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
стерилизация кошки москва,788,
стерилизация собаки москва,277,
кастрация кота москва,455,
кастрация собаки москва,122,
полостная операция собаке москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
удаление опухоли у собаки москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
удаление опухоли у кошки москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
операция на суставе собаке москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
остеосинтез собаке москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
удаление зубов кошке под наркозом москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
кесарево сечение кошке москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
операция на глазах собаке москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
грыжа у собаки операция москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
пиометра у кошки операция москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
онкология у животных москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
узи животным москва,,точного совпадения фразы в ответе нет
наркоз для животных безопасный москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветклиника хамовники,29,
ветеринарная клиника хамовники,17,
ветеринар хамовники,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветклиника на плющихе,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветеринарная клиника плющиха,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветклиника фрунзенская,,точного совпадения фразы в ответе нет
ветеринарная клиника метро фрунзенская,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветклиника смоленская,,точного совпадения фразы в ответе нет
